chapter,chapter_description,block,block_description,code,code_description
X,Diseases of the respiratory system,J60-J70,Lung diseases due to external agents,J68.9,"Unspecified respiratory condition due to chemicals, gases, fumes and vapours"
X,Diseases of the respiratory system,J60-J70,Lung diseases due to external agents,J69,Pneumonitis due to solids and liquids
X,Diseases of the respiratory system,J60-J70,Lung diseases due to external agents,J69.0,Pneumonitis due to food and vomit
X,Diseases of the respiratory system,J60-J70,Lung diseases due to external agents,J69.1,Pneumonitis due to oils and essences
X,Diseases of the respiratory system,J60-J70,Lung diseases due to external agents,J69.8,Pneumonitis due to other solids and liquids
X,Diseases of the respiratory system,J60-J70,Lung diseases due to external agents,J70,Respiratory conditions due to other external agents
X,Diseases of the respiratory system,J60-J70,Lung diseases due to external agents,J70.0,Acute pulmonary manifestations due to radiation
X,Diseases of the respiratory system,J60-J70,Lung diseases due to external agents,J70.1,Chronic and other pulmonary manifestations due to radiation
X,Diseases of the respiratory system,J60-J70,Lung diseases due to external agents,J70.2,Acute drug-induced interstitial lung disorders
X,Diseases of the respiratory system,J60-J70,Lung diseases due to external agents,J70.3,Chronic drug-induced interstitial lung disorders
X,Diseases of the respiratory system,J60-J70,Lung diseases due to external agents,J70.4,"Drug-induced interstitial lung disorders, unspecified"
X,Diseases of the respiratory system,J60-J70,Lung diseases due to external agents,J70.8,Respiratory conditions due to other specified external agents
X,Diseases of the respiratory system,J60-J70,Lung diseases due to external agents,J70.9,Respiratory conditions due to unspecified external agent
X,Diseases of the respiratory system,J80-J84,Other respiratory diseases principally affecting the interstitium,J80,Adult respiratory distress syndrome
X,Diseases of the respiratory system,J80-J84,Other respiratory diseases principally affecting the interstitium,J81,Pulmonary oedema
X,Diseases of the respiratory system,J80-J84,Other respiratory diseases principally affecting the interstitium,J82,"Pulmonary eosinophilia, not elsewhere classified"
X,Diseases of the respiratory system,J80-J84,Other respiratory diseases principally affecting the interstitium,J84,Other interstitial pulmonary diseases
X,Diseases of the respiratory system,J80-J84,Other respiratory diseases principally affecting the interstitium,J84.0,Alveolar and parietoalveolar conditions
X,Diseases of the respiratory system,J80-J84,Other respiratory diseases principally affecting the interstitium,J84.1,Other interstitial pulmonary diseases with fibrosis
X,Diseases of the respiratory system,J80-J84,Other respiratory diseases principally affecting the interstitium,J84.8,Other specified interstitial pulmonary diseases
X,Diseases of the respiratory system,J80-J84,Other respiratory diseases principally affecting the interstitium,J84.9,"Interstitial pulmonary disease, unspecified"
X,Diseases of the respiratory system,J85-J86,Suppurative and necrotic conditions of lower respiratory tract,J85,Abscess of lung and mediastinum
X,Diseases of the respiratory system,J85-J86,Suppurative and necrotic conditions of lower respiratory tract,J85.0,Gangrene and necrosis of lung
X,Diseases of the respiratory system,J85-J86,Suppurative and necrotic conditions of lower respiratory tract,J85.1,Abscess of lung with pneumonia
X,Diseases of the respiratory system,J85-J86,Suppurative and necrotic conditions of lower respiratory tract,J85.2,Abscess of lung without pneumonia
X,Diseases of the respiratory system,J85-J86,Suppurative and necrotic conditions of lower respiratory tract,J85.3,Abscess of mediastinum
X,Diseases of the respiratory system,J85-J86,Suppurative and necrotic conditions of lower respiratory tract,J86,Pyothorax
X,Diseases of the respiratory system,J85-J86,Suppurative and necrotic conditions of lower respiratory tract,J86.0,Pyothorax with fistula
X,Diseases of the respiratory system,J85-J86,Suppurative and necrotic conditions of lower respiratory tract,J86.9,Pyothorax without fistula
X,Diseases of the respiratory system,J90-J94,Other diseases of pleura,J90,"Pleural effusion, not elsewhere classified"
X,Diseases of the respiratory system,J90-J94,Other diseases of pleura,J91,Pleural effusion in conditions classified elsewhere
X,Diseases of the respiratory system,J90-J94,Other diseases of pleura,J92,Pleural plaque
X,Diseases of the respiratory system,J90-J94,Other diseases of pleura,J92.0,Pleural plaque with presence of asbestos
X,Diseases of the respiratory system,J90-J94,Other diseases of pleura,J92.9,Pleural plaque without asbestos
X,Diseases of the respiratory system,J90-J94,Other diseases of pleura,J93,Pneumothorax
X,Diseases of the respiratory system,J90-J94,Other diseases of pleura,J93.0,Spontaneous tension pneumothorax
X,Diseases of the respiratory system,J90-J94,Other diseases of pleura,J93.1,Other spontaneous pneumothorax
X,Diseases of the respiratory system,J90-J94,Other diseases of pleura,J93.8,Other pneumothorax
X,Diseases of the respiratory system,J90-J94,Other diseases of pleura,J93.9,"Pneumothorax, unspecified"
X,Diseases of the respiratory system,J90-J94,Other diseases of pleura,J94,Other pleural conditions
X,Diseases of the respiratory system,J90-J94,Other diseases of pleura,J94.0,Chylous effusion
X,Diseases of the respiratory system,J90-J94,Other diseases of pleura,J94.1,Fibrothorax
X,Diseases of the respiratory system,J90-J94,Other diseases of pleura,J94.2,Haemothorax
X,Diseases of the respiratory system,J90-J94,Other diseases of pleura,J94.8,Other specified pleural conditions
X,Diseases of the respiratory system,J90-J94,Other diseases of pleura,J94.9,"Pleural condition, unspecified"
X,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J95,"Postprocedural respiratory disorders, not elsewhere classified"
X,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J95.0,Tracheostomy malfunction
X,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J95.1,Acute pulmonary insufficiency following thoracic surgery
X,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J95.2,Acute pulmonary insufficiency following nonthoracic surgery
X,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J95.3,Chronic pulmonary insufficiency following surgery
X,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J95.4,Mendelson syndrome
X,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J95.5,Postprocedural subglottic stenosis
X,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J95.8,Other postprocedural respiratory disorders
X,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J95.9,"Postprocedural respiratory disorder, unspecified"
X,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J96,"Respiratory failure, not elsewhere classified"
X,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J96.0,Acute respiratory failure
X,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J96.1,Chronic respiratory failure
X,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J96.9,"Respiratory failure, unspecified"
X,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J98,Other respiratory disorders
X,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J98.0,"Diseases of bronchus, not elsewhere classified"
X,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J98.1,Pulmonary collapse
X,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J98.2,Interstitial emphysema
X,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J98.3,Compensatory emphysema
X,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J98.4,Other disorders of lung
X,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J98.5,"Diseases of mediastinum, not elsewhere classified"
X,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J98.6,Disorders of diaphragm
X,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J98.7,"Respiratory infections, not elsewhere classified"
X,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J98.8,Other specified respiratory disorders
X,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J98.9,"Respiratory disorder, unspecified"
X,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J99,Respiratory disorders in diseases classified elsewhere
X,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J99.0,Rheumatoid lung disease
X,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J99.1,Respiratory disorders in other diffuse connective tissue disorders
X,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J99.8,Respiratory disorders in other diseases classified elsewhere
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K00,Disorders of tooth development and eruption
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K00.0,Anodontia
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K00.1,Supernumerary teeth
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K00.2,Abnormalities of size and form of teeth
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K00.3,Mottled teeth
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K00.4,Disturbances in tooth formation
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K00.5,"Hereditary disturbances in tooth structure, not elsewhere classified"
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K00.6,Disturbances in tooth eruption
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K00.7,Teething syndrome
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K00.8,Other disorders of tooth development
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K00.9,"Disorder of tooth development, unspecified"
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K01,Embedded and impacted teeth
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K01.0,Embedded teeth
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K01.1,Impacted teeth
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K02,Dental caries
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K02.0,Caries limited to enamel
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K02.1,Caries of dentine
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K02.2,Caries of cementum
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K02.3,Arrested dental caries
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K02.4,Odontoclasia
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K02.5,Caries with pulp exposure
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K02.8,Other dental caries
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K02.9,"Dental caries, unspecified"
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K03,Other diseases of hard tissues of teeth
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K03.0,Excessive attrition of teeth
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K03.1,Abrasion of teeth
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K03.2,Erosion of teeth
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K03.3,Pathological resorption of teeth
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K03.4,Hypercementosis
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K03.5,Ankylosis of teeth
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K03.6,Deposits [accretions] on teeth
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K03.7,Posteruptive colour changes of dental hard tissues
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K03.8,Other specified diseases of hard tissues of teeth
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K03.9,"Disease of hard tissues of teeth, unspecified"
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K04,Diseases of pulp and periapical tissues
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K04.0,Pulpitis
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K04.1,Necrosis of pulp
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K04.2,Pulp degeneration
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K04.3,Abnormal hard tissue formation in pulp
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K04.4,Acute apical periodontitis of pulpal origin
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K04.5,Chronic apical periodontitis
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K04.6,Periapical abscess with sinus
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K04.7,Periapical abscess without sinus
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K04.8,Radicular cyst
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K04.9,Other and unspecified diseases of pulp and periapical tissues
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K05,Gingivitis and periodontal diseases
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K05.0,Acute gingivitis
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K05.1,Chronic gingivitis
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K05.2,Acute periodontitis
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K05.3,Chronic periodontitis
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K05.4,Periodontosis
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K05.5,Other periodontal diseases
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K05.6,"Periodontal disease, unspecified"
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K06,Other disorders of gingiva and edentulous alveolar ridge
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K06.0,Gingival recession
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K06.1,Gingival enlargement
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K06.2,Gingival and edentulous alveolar ridge lesions associated with trauma
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K06.8,Other specified disorders of gingiva and edentulous alveolar ridge
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K06.9,"Disorder of gingiva and edentulous alveolar ridge, unspecified"
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K07,Dentofacial anomalies [including malocclusion]
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K07.0,Major anomalies of jaw size
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K07.1,Anomalies of jaw-cranial base relationship
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K07.2,Anomalies of dental arch relationship
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K07.3,Anomalies of tooth position
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K07.4,"Malocclusion, unspecified"
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K07.5,Dentofacial functional abnormalities
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K07.6,Temporomandibular joint disorders
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K07.8,Other dentofacial anomalies
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K07.9,"Dentofacial anomaly, unspecified"
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K08,Other disorders of teeth and supporting structures
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K08.0,Exfoliation of teeth due to systemic causes
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K08.1,"Loss of teeth due to accident, extraction or local periodontal disease"
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K08.2,Atrophy of edentulous alveolar ridge
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K08.3,Retained dental root
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K08.8,Other specified disorders of teeth and supporting structures
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K08.9,"Disorder of teeth and supporting structures, unspecified"
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K09,"Cysts of oral region, not elsewhere classified"
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K09.0,Developmental odontogenic cysts
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K09.1,Developmental (nonodontogenic) cysts of oral region
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K09.2,Other cysts of jaw
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K09.8,"Other cysts of oral region, not elsewhere classified"
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K09.9,"Cyst of oral region, unspecified"
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K10,Other diseases of jaws
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K10.0,Developmental disorders of jaws
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K10.1,"Giant cell granuloma, central"
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K10.2,Inflammatory conditions of jaws
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K10.3,Alveolitis of jaws
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K10.8,Other specified diseases of jaws
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K10.9,"Disease of jaws, unspecified"
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K11,Diseases of salivary glands
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K11.0,Atrophy of salivary gland
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K11.1,Hypertrophy of salivary gland
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K11.2,Sialoadenitis
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K11.3,Abscess of salivary gland
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K11.4,Fistula of salivary gland
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K11.5,Sialolithiasis
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K11.6,Mucocele of salivary gland
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K11.7,Disturbances of salivary secretion
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K11.8,Other diseases of salivary glands
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K11.9,"Disease of salivary gland, unspecified"
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K12,Stomatitis and related lesions
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K12.0,Recurrent oral aphthae
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K12.1,Other forms of stomatitis
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K12.2,Cellulitis and abscess of mouth
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K12.3,Oral mucositis (ulcerative)
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K13,Other diseases of lip and oral mucosa
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K13.0,Diseases of lips
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K13.1,Cheek and lip biting
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K13.2,"Leukoplakia and other disturbances of oral epithelium, including tongue"
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K13.3,Hairy leukoplakia
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K13.4,Granuloma and granuloma-like lesions of oral mucosa
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K13.5,Oral submucous fibrosis
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K13.6,Irritative hyperplasia of oral mucosa
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K13.7,Other and unspecified lesions of oral mucosa
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K14,Diseases of tongue
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K14.0,Glossitis
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K14.1,Geographic tongue
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K14.2,Median rhomboid glossitis
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K14.3,Hypertrophy of tongue papillae
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K14.4,Atrophy of tongue papillae
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K14.5,Plicated tongue
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K14.6,Glossodynia
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K14.8,Other diseases of tongue
XI,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K14.9,"Disease of tongue, unspecified"
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K20,Oesophagitis
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K21,Gastro-oesophageal reflux disease
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K21.0,Gastro-oesophageal reflux disease with oesophagitis
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K21.9,Gastro-oesophageal reflux disease without oesophagitis
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K22,Other diseases of oesophagus
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K22.0,Achalasia of cardia
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K22.1,Ulcer of oesophagus
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K22.2,Oesophageal obstruction
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K22.3,Perforation of oesophagus
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K22.4,Dyskinesia of oesophagus
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K22.5,"Diverticulum of oesophagus, acquired"
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K22.6,Gastro-oesophageal laceration-haemorrhage syndrome
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K22.7,Barrett oesophagus
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K22.8,Other specified diseases of oesophagus
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K22.9,"Disease of oesophagus, unspecified"
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K23,Disorders of oesophagus in diseases classified elsewhere
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K23.0,Tuberculous oesophagitis
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K23.1,Megaoesophagus in Chagas disease
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K23.8,Disorders of oesophagus in other diseases classified elsewhere
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K25,Gastric ulcer
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K25.0,Gastric ulcer : acute with haemorrhage
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K25.1,Gastric ulcer : acute with perforation
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K25.2,Gastric ulcer : acute with both haemorrhage and perforation
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K25.3,Gastric ulcer : acute without haemorrhage or perforation
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K25.4,Gastric ulcer : chronic or unspecified with haemorrhage
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K25.5,Gastric ulcer : chronic or unspecified with perforation
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K25.6,Gastric ulcer : chronic or unspecified with both haemorrhage and perforation
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K25.7,Gastric ulcer : chronic without haemorrhage or perforation
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K25.9,"Gastric ulcer : unspecified as acute or chronic, without haemorrhage or perforation"
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K26,Duodenal ulcer
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K26.0,Duodenal ulcer : acute with haemorrhage
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K26.1,Duodenal ulcer : acute with perforation
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K26.2,Duodenal ulcer : acute with both haemorrhage and perforation
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K26.3,Duodenal ulcer : acute without haemorrhage or perforation
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K26.4,Duodenal ulcer : chronic or unspecified with haemorrhage
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K26.5,Duodenal ulcer : chronic or unspecified with perforation
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K26.6,Duodenal ulcer : chronic or unspecified with both haemorrhage and perforation
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K26.7,Duodenal ulcer : chronic without haemorrhage or perforation
XI,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K26.9,"Duodenal ulcer : unspecified as acute or chronic, without haemorrhage or perforation"
